matchId,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,current_time,blue_win
4569533952,7,16,20790,26264,0,0,0,0,[],['EARTH_DRAGON'],900,0
4617914371,18,9,26615,21469,0,0,-1,0,[],"['EARTH_DRAGON', 'RIFTHERALD']",900,1
4624640515,12,7,22777,20148,0,0,0,0,[],[],900,1
4603736070,17,9,25239,20929,0,0,0,0,[],[],900,1
4620294151,15,14,24682,23440,0,0,0,0,['FIRE_DRAGON'],['RIFTHERALD'],900,1
4603707400,12,10,21110,22984,0,0,0,0,[],"['RIFTHERALD', 'AIR_DRAGON']",900,0
4616331271,12,6,24295,20029,0,0,0,0,['AIR_DRAGON'],[],900,1
4572257288,14,14,23113,23704,0,0,0,0,[],['FIRE_DRAGON'],900,0
4622107666,9,11,22194,21482,0,0,0,0,"['RIFTHERALD', 'AIR_DRAGON']",[],900,0
4623373334,8,11,21283,22540,0,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4575374359,13,5,27405,17356,0,0,-2,0,"['FIRE_DRAGON', 'AIR_DRAGON']",[],900,1
4601887766,12,11,23271,23755,0,0,0,0,['WATER_DRAGON'],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4587413532,4,19,18613,27665,-2,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",900,0
4613493789,10,17,22054,25607,-1,0,0,0,"['WATER_DRAGON', 'RIFTHERALD']",['EARTH_DRAGON'],900,1
4606807582,10,7,24235,20278,0,0,-2,0,['RIFTHERALD'],['AIR_DRAGON'],900,1
4605774879,12,9,25658,19871,0,0,-1,0,[],"['WATER_DRAGON', 'RIFTHERALD']",900,1
4619669024,2,10,14451,26710,-4,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4581166625,8,12,22211,24244,0,0,-1,0,"['AIR_DRAGON', 'RIFTHERALD']",['WATER_DRAGON'],900,0
4622080034,9,7,22119,20493,0,0,0,0,['WATER_DRAGON'],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4570402340,9,8,21021,22534,0,0,0,0,['RIFTHERALD'],[],900,1
4620619301,16,14,25112,25315,0,0,0,0,"['WATER_DRAGON', 'RIFTHERALD']",[],900,1
4595492390,8,8,22731,21686,0,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,1
4620465190,14,7,22569,20997,0,0,0,0,[],['AIR_DRAGON'],900,0
4618116648,14,9,24883,21283,0,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4617343525,2,6,17334,20266,0,0,0,0,['FIRE_DRAGON'],['RIFTHERALD'],900,0
4613237291,10,15,22004,22919,0,0,0,0,"['FIRE_DRAGON', 'RIFTHERALD']",[],900,0
4627725867,3,8,17846,22397,0,0,0,0,['EARTH_DRAGON'],[],900,0
4578264112,15,12,24785,23214,0,0,0,0,[],[],900,0
4595483701,6,17,20077,29666,-4,0,0,0,[],"['WATER_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",900,0
4626332725,5,13,19809,26194,-1,0,0,0,['RIFTHERALD'],['WATER_DRAGON'],900,0
4595533368,3,12,19372,24151,0,0,0,0,['RIFTHERALD'],[],900,0
4595625528,17,10,26956,22141,0,0,0,0,['EARTH_DRAGON'],[],900,0
4609295928,9,8,23052,21429,0,0,-1,0,['RIFTHERALD'],['AIR_DRAGON'],900,1
4606746171,2,9,18695,23663,-1,0,0,0,['FIRE_DRAGON'],"['EARTH_DRAGON', 'RIFTHERALD']",900,0
4613500985,3,11,18247,22980,0,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4612571712,7,12,19429,22863,0,0,0,0,['RIFTHERALD'],[],900,0
4614547522,5,11,20931,23093,0,0,0,0,[],"['WATER_DRAGON', 'AIR_DRAGON']",900,0
4626097218,11,18,22987,27501,-2,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,1
4606340677,6,11,19952,23916,0,0,0,0,"['AIR_DRAGON', 'RIFTHERALD']",['EARTH_DRAGON'],900,0
4627803205,6,7,20087,22150,0,0,0,0,['EARTH_DRAGON'],[],900,0
4627839559,11,8,23922,21627,0,0,0,0,['RIFTHERALD'],['EARTH_DRAGON'],900,1
4623173704,8,25,19969,30157,-1,0,0,0,['RIFTHERALD'],"['AIR_DRAGON', 'WATER_DRAGON']",900,0
4572157511,8,14,20667,26560,-1,0,0,0,[],"['EARTH_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON']",900,0
4626216522,8,6,22058,20542,0,0,0,0,['EARTH_DRAGON'],[],900,1
